,station,delay
360,Avenue I_0,17686522.8581
361,Avenue N_0,17600369.4956
362,Bay Pkwy_1,17383672.8982
363,Cleveland St_0,17363377.6062
364,Elder Av_0,17325527.8264
365,Morrison Av- Sound View_0,16927114.7803
366,174-175 Sts_0,16870653.0309
367,Intervale Av_0,16851909.4342
368,163 St - Amsterdam Av_0,16839386.4057
369,Gates Av_0,16818273.4028
370,Norwood - 205 St_0,16617795.8022
371,Coney Island - Stillwell Av_0,16577467.2838
372,Northern Blvd_0,16551902.6822
373,Grand Army Plaza_0,16439821.3413
374,Mosholu Pkwy_0,16220082.7156
375,36 St_1,15961125.0154
376,Clinton - Washington Avs_0,15897850.109
377,St Lawrence Av_0,15886002.9238
378,Kingston - Throop Avs_0,15883313.7972
379,Avenue P_0,15808460.3986
380,Ralph Av_0,15498833.9693
381,Middle Village - Metropolitan Av_0,15342663.7651
382,Hoyt St_0,15118206.8863
383,Van Siclen Av_2,14879028.4144
384,Bergen St_0,14813213.9326
385,125 St_0,14701411.8114
386,Buhre Av_0,14698436.9853
387,Beach 25 St_0,14408797.8929
388,Cypress Hills_0,14249412.5614
389,Simpson St_0,14137991.3493
390,Chauncey St_0,14076356.6757
391,Nostrand Av_0,14024240.1309
392,Beach 90 St_0,13999894.5096
393,86 St_2,13408235.9514
394,Nereid Av_0,13115600.4938
395,155 St_0,13026431.6675
396,Cortlandt St_1,12740832.3942
397,81 St - Museum of Natural History_0,12723714.6552
398,65 St_0,12193736.6617
399,Shepherd Av_0,12130565.9569
400,25 Av_0,12039161.4379
401,86 St_3,12018814.256
402,Freeman St_0,11864281.9291
403,55 St_0,11829442.3416
404,25 St_0,11718325.4091
405,174 St_0,11595726.096
406,Botanic Garden_0,11572672.7731
407,Beach 98 St_0,11504780.9368
408,Inwood - 207 St_0,11490085.8774
409,Cathedral Pkwy (110 St)_0,11395093.1048
410,Bowery_0,11311927.2331
411,137 St - City College_0,11309061.4365
412,Eastern Pkwy - Brooklyn Museum_0,11200436.8223
413,157 St_0,11179480.6128
414,Kings Hwy_1,10875827.972
415,City Hall_0,10870913.3706
416,World Trade Center_0,10835929.0348
417,Bay Ridge - 95 St_0,10489786.3785
418,Avenue U_1,10489524.4378
419,182-183 Sts_0,10484105.1978
420,103 St_2,10301937.1267
421,145 St_1,10089706.5972
422,Park Pl_1,9937379.22765
423,96 St_2,9871013.16164
424,West Farms Sq - E Tremont Av_0,9753608.98225
425,New Lots Av_0,9628861.98417
426,Avenue U_0,8851954.49367
427,Rockaway Av_1,8714363.77726
428,Avenue X_0,8403560.06371
429,Van Cortlandt Park - 242 St_0,8230013.5044
430,Beach 105 St_0,7991271.73611
431,Eastchester - Dyre Av_0,7839130.62252
432,145 St_2,7394696.53727
433,Neptune Av_0,6723549.66782
434,Bay 50 St_0,6488739.384
435,Van Siclen Av_1,5902305.63397
436,Far Rockaway - Mott Av_0,5724565.88779
437,Liberty Av_0,5427460.20182
438,Cortlandt St_0,5133535.82497
439,Pelham Bay Park_0,4836179.11252
440,Woodlawn_0,4731158.55514
441,Wakefield - 241 St_0,4366871.74028
442,Rockaway Park - Beach 116 St_0,4193544.59297
443,Harlem - 148 St_0,2514206.68549
444,Great Kills_0,1340234.73992
445,Oakwood Heights_0,1263801.50725
446,New Dorp_0,1205128.50882
447,Bay Terrace_0,1140384.96855
448,Eltingville_0,1105541.63325
449,Annadale_0,1015967.40071
450,Huguenot_0,835539.974754
451,Prince's Bay_0,757205.06306
452,Grasmere_0,748474.211675
453,Old Town_0,669060.989756
454,St George_0,622878.951825
455,Pleasant Plains_0,529678.358473
456,Stapleton_0,516426.277517
457,Tompkinsville_0,460420.297178
458,Dongan Hills_0,442310.709979
459,Jefferson Av_0,408251.145956
460,Clifton_0,385438.542616
461,Grant City_0,358547.073313
462,Richmond Valley_0,347826.841147
463,Arthur Kill_0,177711.891489
464,Tottenville_0,25770.0575317
