,delay,station_0,station_1,delay_0,delay_1,sum,synergy,station_0_lat,station_0_lon,station_1_lat,station_1_lon
70,113817090.824,Court Sq_0,Woodside - 61 St_0,71234299.43,72995189.13,144229488.56,-30412397.736,40.74731725,-73.945274,40.74563,-73.902984
71,101111099.405,Crown Hts - Utica Av_0,Woodside - 61 St_0,65796931.84,72995189.13,138792120.97,-37681021.565,40.668897,-73.932942,40.74563,-73.902984
72,99893057.9686,Borough Hall_0,Woodside - 61 St_0,52013009.52,72995189.13,125008198.65,-25115140.6814,40.69273,-73.9900898,40.74563,-73.902984
73,76448720.4309,Pennsylvania Av_0,Woodside - 61 St_0,61520400.0,72995189.13,134515589.13,-58066868.6991,40.664635,-73.894895,40.74563,-73.902984
74,73166966.972,Rector St_0,Woodside - 61 St_0,83457571.74,72995189.13,156452760.87,-83285793.898,40.7073372,-74.0135184,40.74563,-73.902984
75,67842017.9129,Prospect Av_1,Woodside - 61 St_0,44668166.84,72995189.13,117663355.97,-49821338.0571,40.665414,-73.992872,40.74563,-73.902984
76,67328092.2542,Van Siclen Av_0,Woodside - 61 St_0,50320800.0,72995189.13,123315989.13,-55987896.8758,40.665449,-73.889395,40.74563,-73.902984
77,250486197.509,Atlantic Av - Barclays Ctr_0,Woodside - 61 St_0,189349948.0,72995189.13,262345137.13,-11858939.621,40.6841504444,-73.9778748889,40.74563,-73.902984
78,349174852.327,Queensboro Plaza_0,Woodside - 61 St_0,241567386.0,72995189.13,314562575.13,34612277.197,40.750582,-73.940202,40.74563,-73.902984
79,281051132.154,36 St_0,Woodside - 61 St_0,218885155.3,72995189.13,291880344.43,-10829212.276,40.655144,-74.003549,40.74563,-73.902984
80,286570160.715,Forest Hills - 71 Av_0,Woodside - 61 St_0,194729005.8,72995189.13,267724194.93,18845965.785,40.721691,-73.844521,40.74563,-73.902984
81,245299427.207,161 St - Yankee Stadium_0,Woodside - 61 St_0,224782444.8,72995189.13,297777633.93,-52478206.723,40.8279346667,-73.925711,40.74563,-73.902984
82,237567749.795,36 Av_0,Woodside - 61 St_0,196700400.0,72995189.13,269695589.13,-32127839.335,40.756804,-73.929575,40.74563,-73.902984
83,239779940.116,Grant Av_0,Woodside - 61 St_0,193507200.0,72995189.13,266502389.13,-26722449.014,40.677044,-73.86505,40.74563,-73.902984
84,227282402.478,80 St_0,Woodside - 61 St_0,172328400.0,72995189.13,245323589.13,-18041186.652,40.679371,-73.858992,40.74563,-73.902984
85,206133332.51,Hunts Point Av_0,Woodside - 61 St_0,191325600.0,72995189.13,264320789.13,-58187456.62,40.820948,-73.890549,40.74563,-73.902984
86,214014009.708,Broadway_1,Woodside - 61 St_0,174884400.0,72995189.13,247879589.13,-33865579.422,40.76182,-73.925508,40.74563,-73.902984
87,236720188.042,Prospect Park_0,Woodside - 61 St_0,156023814.8,72995189.13,229019003.93,7701184.112,40.661614,-73.962246,40.74563,-73.902984
88,207651579.706,88 St_0,Woodside - 61 St_0,163116000.0,72995189.13,236111189.13,-28459609.424,40.679843,-73.85147,40.74563,-73.902984
89,155744374.699,72 St_2,Woodside - 61 St_0,216691200.0,72995189.13,289686389.13,-133942014.431,40.768799,-73.958424,40.74563,-73.902984
90,126732055.241,47-50 Sts - Rockefeller Ctr_0,Woodside - 61 St_0,145230650.5,72995189.13,218225839.63,-91493784.389,40.758663,-73.981329,40.74563,-73.902984
91,210734421.918,86 St_1,Woodside - 61 St_0,149002044.4,72995189.13,221997233.53,-11262811.612,40.779492,-73.955589,40.74563,-73.902984
92,116050563.605,57 St - 7 Av_0,Woodside - 61 St_0,90688608.13,72995189.13,163683797.26,-47633233.655,40.764664,-73.980658,40.74563,-73.902984
93,191126312.856,President St_0,Woodside - 61 St_0,190162800.0,72995189.13,263157989.13,-72031676.274,40.667883,-73.950683,40.74563,-73.902984
94,180671905.812,Sterling St_0,Woodside - 61 St_0,180536400.0,72995189.13,253531589.13,-72859683.318,40.662742,-73.95085,40.74563,-73.902984
95,194035490.18,Rockaway Blvd_0,Woodside - 61 St_0,155858400.0,72995189.13,228853589.13,-34818098.95,40.680429,-73.843853,40.74563,-73.902984
96,183728787.939,30 Av_0,Woodside - 61 St_0,149392800.0,72995189.13,222387989.13,-38659201.191,40.766779,-73.921479,40.74563,-73.902984
97,91015690.8425,Sutter Av - Rutland Rd_0,Woodside - 61 St_0,66731112.14,72995189.13,139726301.27,-48710610.4275,40.664717,-73.92261,40.74563,-73.902984
98,143827574.964,Flushing - Main St_0,Woodside - 61 St_0,157528800.0,72995189.13,230523989.13,-86696414.166,40.7596,-73.83003,40.74563,-73.902984
99,67016618.7347,Union St_0,Woodside - 61 St_0,49906137.58,72995189.13,122901326.71,-55884707.9753,40.677316,-73.98311,40.74563,-73.902984
100,146947812.472,181 St_0,Woodside - 61 St_0,158248800.0,72995189.13,231243989.13,-84296176.658,40.849505,-73.933596,40.74563,-73.902984
101,126351474.428,42 St - Port Authority Bus Terminal_0,Woodside - 61 St_0,184786800.3,72995189.13,257781989.43,-131430515.002,40.757308,-73.989735,40.74563,-73.902984
102,124423768.898,34 St - Penn Station_1,Woodside - 61 St_0,160662771.2,72995189.13,233657960.33,-109234191.432,40.752287,-73.993391,40.74563,-73.902984
103,114312480.784,86 St_4,Woodside - 61 St_0,147834000.0,72995189.13,220829189.13,-106516708.346,40.777891,-73.951787,40.74563,-73.902984
104,86580761.2763,Whitehall St_0,Woodside - 61 St_0,166596572.0,72995189.13,239591761.13,-153010999.854,40.703087,-74.012994,40.74563,-73.902984
105,614243694.564,Jackson Hts - Roosevelt Av_0,Woodhaven Blvd_1,301205900.1,52362135.75,353568035.85,260675658.714,40.746644,-73.891338,40.693879,-73.851576
106,300153089.16,125 St_2,Woodhaven Blvd_1,281095859.9,52362135.75,333457995.65,-33304906.49,40.804138,-73.937594,40.693879,-73.851576
107,167551615.35,Newkirk Plaza_0,Woodhaven Blvd_1,112878557.4,52362135.75,165240693.15,2310922.2,40.635082,-73.962793,40.693879,-73.851576
108,83094957.7665,Essex St_0,Woodhaven Blvd_1,82901334.71,52362135.75,135263470.46,-52168512.6935,40.718315,-73.987437,40.693879,-73.851576
109,110775714.389,Nostrand Av_1,Woodhaven Blvd_1,75881384.82,52362135.75,128243520.57,-17467806.181,40.680438,-73.950426,40.693879,-73.851576
110,55756380.2744,25 St_0,Woodhaven Blvd_1,39932345.75,52362135.75,92294481.5,-36538101.2256,40.660397,-73.998091,40.693879,-73.851576
111,385070208.526,Broadway Jct_0,Woodhaven Blvd_1,279697292.3,52362135.75,332059428.05,53010780.476,40.678904,-73.9045792,40.693879,-73.851576
112,127378052.474,145 St_0,Woodhaven Blvd_1,89666349.0,52362135.75,142028484.75,-14650432.276,40.824783,-73.944216,40.693879,-73.851576
113,312383084.838,Junction Blvd_0,Woodhaven Blvd_1,272507330.6,52362135.75,324869466.35,-12486381.512,40.749145,-73.869527,40.693879,-73.851576
114,387221697.072,Kew Gardens - Union Tpke_0,Woodhaven Blvd_1,269526592.1,52362135.75,321888727.85,65332969.222,40.714441,-73.831008,40.693879,-73.851576
115,267559880.106,Grand Central - 42 St_0,Woodhaven Blvd_1,276309490.9,52362135.75,328671626.65,-61111746.544,40.751707,-73.9766866,40.693879,-73.851576
116,265372523.824,3 Av - 149 St_0,Woodhaven Blvd_1,254329200.0,52362135.75,306691335.75,-41318811.926,40.816109,-73.917757,40.693879,-73.851576
117,189095437.94,Times Sq - 42 St_0,Woodhaven Blvd_1,139840736.4,52362135.75,192202872.15,-3107434.21,40.7551308,-73.9870916,40.693879,-73.851576
