,delay,station_0,station_1,station_0_lat,station_0_lon,station_1_lat,station_1_lon
100,374032554.332,Grand Central - 42 St_0,86 St_1,40.751707,-73.9766866,40.779492,-73.955589
101,367372427.207,3 Av - 149 St_0,86 St_1,40.816109,-73.917757,40.779492,-73.955589
102,362366541.312,Lexington Av/63 St_0,86 St_1,40.764629,-73.966113,40.779492,-73.955589
103,361135994.683,Queensboro Plaza_0,86 St_1,40.750582,-73.940202,40.779492,-73.955589
104,356232849.761,Franklin Av_1,86 St_1,40.670682,-73.958131,40.779492,-73.955589
105,351938382.027,161 St - Yankee Stadium_0,86 St_1,40.8279346667,-73.925711,40.779492,-73.955589
106,343222514.583,36 St_0,86 St_1,40.655144,-74.003549,40.779492,-73.955589
107,337882608.384,72 St_2,86 St_1,40.768799,-73.958424,40.779492,-73.955589
108,332791200.339,59 St - Columbus Circle_0,86 St_1,40.768275,-73.9818187143,40.779492,-73.955589
109,325594040.703,Euclid Av_0,86 St_1,40.675377,-73.872106,40.779492,-73.955589
110,320184969.884,39 Av_0,86 St_1,40.752882,-73.932755,40.779492,-73.955589
111,319237254.555,3 Av - 138 St_0,86 St_1,40.810476,-73.926138,40.779492,-73.955589
112,318069002.746,Parsons Blvd_0,86 St_1,40.707564,-73.803326,40.779492,-73.955589
113,317678250.445,36 Av_0,86 St_1,40.756804,-73.929575,40.779492,-73.955589
114,317625933.262,Forest Hills - 71 Av_0,86 St_1,40.721691,-73.844521,40.779492,-73.955589
115,316731700.21,Grant Av_0,86 St_1,40.677044,-73.86505,40.779492,-73.955589
116,313349779.291,President St_0,86 St_1,40.667883,-73.950683,40.779492,-73.955589
117,313339136.981,Atlantic Av - Barclays Ctr_0,86 St_1,40.6841504444,-73.9778748889,40.779492,-73.955589
118,311862151.283,42 St - Port Authority Bus Terminal_0,86 St_1,40.757308,-73.989735,40.779492,-73.955589
119,303797538.796,Sterling St_0,86 St_1,40.662742,-73.95085,40.779492,-73.955589
120,296516836.662,Broadway_1,86 St_1,40.76182,-73.925508,40.779492,-73.955589
121,295777058.537,80 St_0,86 St_1,40.679371,-73.858992,40.779492,-73.955589
122,294289840.483,168 St - Washington Hts_0,86 St_1,40.840556,-73.940133,40.779492,-73.955589
123,293775044.943,14 St - Union Sq_0,86 St_1,40.7352045,-73.9902595,40.779492,-73.955589
124,293284013.562,Winthrop St_0,86 St_1,40.656652,-73.9502,40.779492,-73.955589
125,289273569.891,E 180 St_0,86 St_1,40.841894,-73.873488,40.779492,-73.955589
126,289166676.259,5 Av/53 St_0,86 St_1,40.760167,-73.975224,40.779492,-73.955589
127,288463483.18,Grand Central - 42 St_1,86 St_1,40.752769,-73.979189,40.779492,-73.955589
128,288144532.031,Whitehall St_0,86 St_1,40.703087,-74.012994,40.779492,-73.955589
129,286914073.425,88 St_0,86 St_1,40.679843,-73.85147,40.779492,-73.955589
130,286730106.781,34 St - Penn Station_1,86 St_1,40.752287,-73.993391,40.779492,-73.955589
131,286247445.077,Hunts Point Av_0,86 St_1,40.820948,-73.890549,40.779492,-73.955589
132,284605591.443,Mets - Willets Point_0,86 St_1,40.754622,-73.845625,40.779492,-73.955589
133,283120636.28,Church Av_0,86 St_1,40.650843,-73.949575,40.779492,-73.955589
134,282744349.05,181 St_0,86 St_1,40.849505,-73.933596,40.779492,-73.955589
135,281872107.493,Jamaica - 179 St_0,86 St_1,40.712646,-73.783817,40.779492,-73.955589
136,280460120.211,Prospect Park_0,86 St_1,40.661614,-73.962246,40.779492,-73.955589
137,280423704.215,Flushing - Main St_0,86 St_1,40.7596,-73.83003,40.779492,-73.955589
138,279757712.827,Rockaway Blvd_0,86 St_1,40.680429,-73.843853,40.779492,-73.955589
139,271785332.453,167 St_0,86 St_1,40.835537,-73.9214,40.779492,-73.955589
140,271568114.553,30 Av_0,86 St_1,40.766779,-73.921479,40.779492,-73.955589
141,257761608.536,59 St_0,86 St_1,40.762526,-73.967967,40.779492,-73.955589
142,558874057.671,Jackson Hts - Roosevelt Av_0,149 St - Grand Concourse_0,40.746644,-73.891338,40.8183983333,-73.926929
143,553397873.213,Jackson Hts - Roosevelt Av_0,125 St_2,40.746644,-73.891338,40.804138,-73.937594
144,479248162.269,149 St - Grand Concourse_0,125 St_2,40.8183983333,-73.926929,40.804138,-73.937594
145,540216291.402,Jackson Hts - Roosevelt Av_0,Grand Central - 42 St_0,40.746644,-73.891338,40.751707,-73.9766866
146,525395804.826,Broadway Jct_0,Grand Central - 42 St_0,40.678904,-73.9045792,40.751707,-73.9766866
147,525147319.864,149 St - Grand Concourse_0,Grand Central - 42 St_0,40.8183983333,-73.926929,40.751707,-73.9766866
148,511703677.338,125 St_2,Grand Central - 42 St_0,40.804138,-73.937594,40.751707,-73.9766866
149,536146978.905,Jackson Hts - Roosevelt Av_0,Lexington Av/63 St_0,40.746644,-73.891338,40.764629,-73.966113
150,497993324.281,Broadway Jct_0,Lexington Av/63 St_0,40.678904,-73.9045792,40.764629,-73.966113
151,496267991.031,149 St - Grand Concourse_0,Lexington Av/63 St_0,40.8183983333,-73.926929,40.764629,-73.966113
152,492396068.694,125 St_2,Lexington Av/63 St_0,40.804138,-73.937594,40.764629,-73.966113
153,492213022.157,Grand Central - 42 St_0,Lexington Av/63 St_0,40.751707,-73.9766866,40.764629,-73.966113
154,487831697.563,Junction Blvd_0,Lexington Av/63 St_0,40.749145,-73.869527,40.764629,-73.966113
155,480531420.622,Kew Gardens - Union Tpke_0,Lexington Av/63 St_0,40.714441,-73.831008,40.764629,-73.966113
156,466545815.953,3 Av - 149 St_0,Lexington Av/63 St_0,40.816109,-73.917757,40.764629,-73.966113
157,530164214.062,149 St - Grand Concourse_0,Junction Blvd_0,40.8183983333,-73.926929,40.749145,-73.869527
158,525603410.488,125 St_2,Junction Blvd_0,40.804138,-73.937594,40.749145,-73.869527
159,523688981.975,Jackson Hts - Roosevelt Av_0,Junction Blvd_0,40.746644,-73.891338,40.749145,-73.869527
160,521597060.023,Broadway Jct_0,Junction Blvd_0,40.678904,-73.9045792,40.749145,-73.869527
161,514578202.119,Grand Central - 42 St_0,Junction Blvd_0,40.751707,-73.9766866,40.749145,-73.869527
162,528475377.342,Jackson Hts - Roosevelt Av_0,3 Av - 149 St_0,40.746644,-73.891338,40.816109,-73.917757
163,508088051.85,Broadway Jct_0,3 Av - 149 St_0,40.678904,-73.9045792,40.816109,-73.917757
164,500073530.648,Junction Blvd_0,3 Av - 149 St_0,40.749145,-73.869527,40.816109,-73.917757
165,497407725.039,Kew Gardens - Union Tpke_0,3 Av - 149 St_0,40.714441,-73.831008,40.816109,-73.917757
166,495176517.511,Grand Central - 42 St_0,3 Av - 149 St_0,40.751707,-73.9766866,40.816109,-73.917757
167,474092922.907,125 St_2,3 Av - 149 St_0,40.804138,-73.937594,40.816109,-73.917757
168,288692478.452,149 St - Grand Concourse_0,3 Av - 149 St_0,40.8183983333,-73.926929,40.816109,-73.917757
