,0,1
405,E 105 St_0,2
406,1 Av_0,2
407,Sutter Av - Rutland Rd_0,2
408,Beach 67 St_0,2
409,45 St_0,2
410,104 St_0,2
411,Bedford - Nostrand Avs_0,2
412,Huguenot_0,2
413,Bushwick Av - Aberdeen St_0,2
414,Brook Av_0,2
415,190 St_0,2
416,New Lots Av_1,2
417,3 Av - 138 St_0,2
418,Grand Army Plaza_0,2
419,Beach 105 St_0,2
420,Morris Park_0,2
421,Arthur Kill_0,2
422,5 Av/59 St_0,2
423,Aqueduct - N Conduit Av_0,2
424,Kingsbridge Rd_1,2
425,20 Av_1,2
426,20 Av_0,2
427,Old Town_0,2
428,39 Av_0,2
429,Bergen St_0,2
430,Houston St_0,2
431,Morrison Av- Sound View_0,2
432,Tompkinsville_0,2
433,18 Av_1,2
434,Vernon Blvd - Jackson Av_0,2
435,Hunters Point Av_0,2
436,Bay 50 St_0,2
437,18 Av_2,2
438,Jackson Av_0,2
439,18 Av_0,2
440,Mets - Willets Point_0,2
441,Inwood - 207 St_0,1
442,Flushing - Main St_0,1
443,96 St_3,1
444,34 St - 11 Av_0,1
445,Van Cortlandt Park - 242 St_0,1
446,Jamaica Center - Parsons/Archer_0,1
447,Eastchester - Dyre Av_0,1
448,Astoria - Ditmars Blvd_0,1
449,Tottenville_0,1
450,Bay Ridge - 95 St_0,1
451,Norwood - 205 St_0,1
452,Broad St_0,1
453,Ozone Park - Lefferts Blvd_0,1
454,Harlem - 148 St_0,1
455,Rockaway Park - Beach 116 St_0,1
456,Woodlawn_0,1
457,Canarsie - Rockaway Pkwy_0,1
458,Middle Village - Metropolitan Av_0,1
459,Far Rockaway - Mott Av_0,1
460,New Lots Av_0,1
461,Wakefield - 241 St_0,1
462,Pelham Bay Park_0,1
463,Flatbush Av - Brooklyn College_0,1
